country_name,gdp,region,year
Lesotho,"2,584",Africa,2023
Cape Verde,"2,468",Africa,2023
Gambia,"2,277",Africa,2023
Saint Lucia,"2,262",Americas,2023
East Timor,"1,988",Asia,2023
Seychelles,"1,950",Africa,2023
Guinea-Bissau,"1,887",Africa,2023
Antigua and Barbuda,"1,864",Americas,2023
San Marino,"1,807",Europe,2023
Zanzibar,—,Africa,—
Solomon Islands,"1,701",Oceania,2023
British Virgin Islands,—,Americas,—
Comoros,"1,348",Africa,2023
Grenada,"1,274",Americas,2023
Vanuatu,"1,064",Oceania,2023
Saint Kitts and Nevis,"1,052",Americas,2023
Saint Vincent and the Grenadines,"1,039",Americas,2023
Turks and Caicos Islands,—,Americas,"1,139"
Samoa,898,Oceania,2023
Sint Maarten,—,Americas,"1,572"
Dominica,681,Americas,2023
São Tomé and Príncipe,625,Africa,2023
Tonga,541,Oceania,2023
Micronesia,456,Oceania,2023
Marshall Islands,291,Oceania,2023
Cook Islands,—,Oceania,—
Palau,262,Oceania,2023
Anguilla,—,Americas,—
Kiribati,248,Oceania,2023
Nauru,151,Oceania,2023
Montserrat,—,Americas,—
Tuvalu,65,Oceania,2023
